member_casual,start_station_name,latitude,longitude,total_rides
member,Clark St & Elm St,41.903002281412796,-87.631483429067558,18944
member,Clinton St & Jackson Blvd,41.878318236118304,-87.640985758288522,18479
member,Wells St & Concord Ln,41.91213036075807,-87.634657908352452,18402
member,Wells St & Huron St,41.894789974447747,-87.634381378742745,18079
member,Canal St & Adams St,41.879255024301592,-87.639907241472315,15876
member,University Ave & 57th St,41.791477946208431,-87.599862286580048,15579
member,Kingsbury St & Erie St,41.893906008546985,-87.641737159168557,15579
member,Desplaines St & Kinzie St,41.888710439666667,-87.644447380931027,15552
member,Wells St & Hubbard St,41.889910834708218,-87.634271247249771,15092
member,Daley Center Plaza,41.884240754114622,-87.6296330380819,14918
member,Clark St & Armitage Ave,41.918305852183131,-87.636283698396454,14836
member,Dearborn Pkwy & Delaware Pl,41.898968073153085,-87.629914665978475,14483
member,DuSable Lake Shore Dr & North Blvd,41.911722405796887,-87.62680405164808,14420
member,Orleans St & Merchandise Mart Plaza,41.888232818876666,-87.636402135615484,14417
member,McClurg Ct & Ohio St,41.892598360902987,-87.6172914138768,14343
member,Clinton St & Lake St,41.885630324241284,-87.641824610699928,14309
member,Clark St & Lincoln Ave,41.915693341370094,-87.634601170756383,13970
member,Wilton Ave & Belmont Ave,41.940228699130557,-87.652944554318623,13827
member,Ravenswood Ave & Lawrence Ave,41.968445390606711,-87.674226307208315,13700
member,Columbus Dr & Randolph St,41.884712392100376,-87.619517920511072,13529
member,Franklin St & Monroe St,41.880316063519217,-87.635185364464959,13420
member,Broadway & Waveland Ave,41.949074464406692,-87.648632996189875,13197
member,Clark St & Lake St,41.886020494366655,-87.630878553968586,13147
member,Wabash Ave & Grand Ave,41.891463749759367,-87.626761449525219,13141
member,Broadway & Cornelia Ave,41.945528319026728,-87.646439419610928,13118
member,Ellis Ave & 55th St,41.794300686683933,-87.601449470130873,13029
member,Michigan Ave & Oak St,41.900961158246169,-87.623775071334549,12958
member,Dearborn St & Erie St,41.893903355254778,-87.629699497117315,12947
member,LaSalle St & Illinois St,41.890765446917818,-87.631699364628858,12425
member,Green St & Madison St,41.881859838786191,-87.649260989735424,12356
member,Ellis Ave & 60th St,41.785098985688613,-87.601073737263377,12240
member,Michigan Ave & Washington St,41.883984323697028,-87.624683261953464,12190
member,New St & Illinois St,41.890843204504804,-87.618619498147623,12158
member,Halsted St & Clybourn Ave,41.909664650473971,-87.6481288290035,11959
